,,,,IUL Cap,12%
,,,,IUL Floor,0%
,,,,,
Date,Value,Value (Trimmed),Rolling Annual Returns,IUL Returns,IUL Returns Value
13-Aug-24,"  5,434.43","5,434.43",,,
1-Jul-24,"  5,553.15","5,553.15",23.2%,12%,10%
1-Jun-24,"  5,451.14","5,451.14",25.4%,12%,10%
1-May-24,"  5,235.22","5,235.22",26.3%,12%,10%
1-Apr-24,"  5,112.49","5,112.49",24.0%,12%,10%
1-Mar-24,"  5,170.57","5,170.57",30.3%,12%,10%
1-Feb-24,"  5,011.96","5,011.96",22.9%,12%,10%
1-Jan-24,"  4,804.49","4,804.49",21.3%,12%,10%
1-Dec-23,"  4,685.05","4,685.05",19.7%,12%,10%
1-Nov-23,"  4,460.06","4,460.06",13.8%,12%,10%
1-Oct-23,"  4,258.98","4,258.98",14.3%,12%,10%
1-Sep-23,"  4,409.10","4,409.10",14.5%,12%,10%
1-Aug-23,"  4,426.24","4,426.24",6.4%,6%,6%
1-Jul-23,"  4,508.08","4,508.08",15.2%,12%,10%
1-Jun-23,"  4,345.37","4,345.37",11.4%,11%,10%
1-May-23,"  4,146.17","4,146.17",2.6%,3%,3%
1-Apr-23,"  4,121.47","4,121.47",-6.1%,0%,0%
1-Mar-23,"  3,968.56","3,968.56",-9.6%,0%,0%
1-Feb-23,"  4,079.68","4,079.68",-8.0%,0%,0%
1-Jan-23,"  3,960.66","3,960.66",-13.4%,0%,0%
1-Dec-22,"  3,912.38","3,912.38",-16.3%,0%,0%
1-Nov-22,"  3,917.49","3,917.49",-16.1%,0%,0%
1-Oct-22,"  3,726.05","3,726.05",-16.5%,0%,0%
1-Sep-22,"  3,850.52","3,850.52",-13.4%,0%,0%
1-Aug-22,"  4,158.56","4,158.56",-6.6%,0%,0%
1-Jul-22,"  3,911.73","3,911.73",-10.4%,0%,0%
1-Jun-22,"  3,898.95","3,898.95",-8.0%,0%,0%
1-May-22,"  4,040.36","4,040.36",-3.1%,0%,0%
1-Apr-22,"  4,391.30","4,391.30",6.0%,6%,6%
1-Mar-22,"  4,391.27","4,391.27",12.3%,12%,10%
1-Feb-22,"  4,435.98","4,435.98",14.2%,12%,10%
1-Jan-22,"  4,573.82","4,573.82",20.6%,12%,10%
1-Dec-21,"  4,674.77","4,674.77",26.5%,12%,10%
1-Nov-21,"  4,667.39","4,667.39",31.5%,12%,10%
1-Oct-21,"  4,460.71","4,460.71",30.5%,12%,10%
1-Sep-21,"  4,445.54","4,445.54",32.1%,12%,10%
1-Aug-21,"  4,454.21","4,454.21",31.3%,12%,10%
1-Jul-21,"  4,363.71","4,363.71",36.0%,12%,10%
1-Jun-21,"  4,238.49","4,238.49",36.5%,12%,10%
1-May-21,"  4,167.85","4,167.85",42.8%,12%,10%
1-Apr-21,"  4,141.18","4,141.18",49.9%,12%,10%
1-Mar-21,"  3,910.51","3,910.51",47.4%,12%,10%
1-Feb-21,"  3,883.43","3,883.43",18.5%,12%,10%
1-Jan-21,"  3,793.75","3,793.75",15.7%,12%,10%
1-Dec-20,"  3,695.31","3,695.31",16.3%,12%,10%
1-Nov-20,"  3,548.99","3,548.99",14.3%,12%,10%
1-Oct-20,"  3,418.70","3,418.70",14.8%,12%,10%
1-Sep-20,"  3,365.52","3,365.52",12.9%,12%,10%
1-Aug-20,"  3,391.71","3,391.71",17.1%,12%,10%
1-Jul-20,"  3,207.62","3,207.62",7.1%,7%,7%
1-Jun-20,"  3,104.66","3,104.66",7.4%,7%,7%
1-May-20,"  2,919.61","2,919.61",2.3%,2%,2%
1-Apr-20,"  2,761.98","2,761.98",-4.9%,0%,0%
1-Mar-20,"  2,652.39","2,652.39",-5.4%,0%,0%
1-Feb-20,"  3,277.31","3,277.31",19.0%,12%,10%
1-Jan-20,"  3,278.20","3,278.20",25.7%,12%,10%
1-Dec-19,"  3,176.75","3,176.75",23.7%,12%,10%
1-Nov-19,"  3,104.90","3,104.90",14.0%,12%,10%
1-Oct-19,"  2,977.68","2,977.68",6.9%,7%,7%
1-Sep-19,"  2,982.16","2,982.16",2.8%,3%,3%
1-Aug-19,"  2,897.50","2,897.50",1.4%,1%,1%
1-Jul-19,"  2,996.11","2,996.11",7.2%,7%,7%
1-Jun-19,"  2,890.17","2,890.17",4.9%,5%,5%
1-May-19,"  2,854.71","2,854.71",5.7%,6%,6%
1-Apr-19,"  2,903.80","2,903.80",9.4%,9%,9%
1-Mar-19,"  2,803.98","2,803.98",3.7%,4%,4%
1-Feb-19,"  2,754.86","2,754.86",1.8%,2%,2%
1-Jan-19,"  2,607.39","2,607.39",-6.5%,0%,0%
1-Dec-18,"  2,567.31","2,567.31",-3.6%,0%,0%
1-Nov-18,"  2,723.23","2,723.23",5.0%,5%,5%
1-Oct-18,"  2,785.46","2,785.46",8.9%,9%,9%
1-Sep-18,"  2,901.50","2,901.50",16.4%,12%,10%
1-Aug-18,"  2,857.82","2,857.82",16.4%,12%,10%
1-Jul-18,"  2,793.64","2,793.64",13.8%,12%,10%
1-Jun-18,"  2,754.35","2,754.35",13.2%,12%,10%
1-May-18,"  2,701.49","2,701.49",12.8%,12%,10%
1-Apr-18,"  2,653.63","2,653.63",12.5%,12%,10%
1-Mar-18,"  2,702.77","2,702.77",14.2%,12%,10%
1-Feb-18,"  2,705.16","2,705.16",16.1%,12%,10%
1-Jan-18,"  2,789.80","2,789.80",22.6%,12%,10%
1-Dec-17,"  2,664.34","2,664.34",18.6%,12%,10%
1-Nov-17,"  2,593.61","2,593.61",19.8%,12%,10%
1-Oct-17,"  2,557.00","2,557.00",19.3%,12%,10%
1-Sep-17,"  2,492.84","2,492.84",15.5%,12%,10%
1-Aug-17,"  2,456.22","2,456.22",13.1%,12%,10%
1-Jul-17,"  2,454.10","2,454.10",14.2%,12%,10%
1-Jun-17,"  2,433.99","2,433.99",16.8%,12%,10%
1-May-17,"  2,395.35","2,395.35",16.0%,12%,10%
1-Apr-17,"  2,359.31","2,359.31",13.7%,12%,10%
1-Mar-17,"  2,366.82","2,366.82",17.1%,12%,10%
1-Feb-17,"  2,329.91","2,329.91",22.3%,12%,10%
1-Jan-17,"  2,275.12","2,275.12",18.6%,12%,10%
1-Dec-16,"  2,246.63","2,246.63",9.4%,9%,9%
1-Nov-16,"  2,164.99","2,164.99",4.1%,4%,4%
1-Oct-16,"  2,143.02","2,143.02",5.8%,6%,6%
1-Sep-16,"  2,157.69","2,157.69",11.0%,11%,10%
1-Aug-16,"  2,170.95","2,170.95",6.4%,6%,6%
1-Jul-16,"  2,148.90","2,148.90",2.6%,3%,3%
1-Jun-16,"  2,083.89","2,083.89",-0.7%,0%,0%
1-May-16,"  2,065.55","2,065.55",-2.2%,0%,0%
1-Apr-16,"  2,075.54","2,075.54",-0.9%,0%,0%
1-Mar-16,"  2,021.95","2,021.95",-2.8%,0%,0%
1-Feb-16,"  1,904.42","1,904.42",-8.5%,0%,0%
1-Jan-16,"  1,918.60","1,918.60",-5.4%,0%,0%
1-Dec-15,"  2,054.08","2,054.08",0.0%,0%,0%
1-Nov-15,"  2,080.62","2,080.62",1.8%,2%,2%
1-Oct-15,"  2,024.81","2,024.81",4.5%,5%,5%
1-Sep-15,"  1,944.41","1,944.41",-2.4%,0%,0%
1-Aug-15,"  2,039.87","2,039.87",4.0%,4%,4%
1-Jul-15,"  2,094.14","2,094.14",6.1%,6%,6%
1-Jun-15,"  2,099.29","2,099.29",7.8%,8%,8%
1-May-15,"  2,111.94","2,111.94",11.8%,12%,10%
1-Apr-15,"  2,094.86","2,094.86",12.4%,12%,10%
1-Mar-15,"  2,079.99","2,079.99",11.6%,12%,10%
1-Feb-15,"  2,082.20","2,082.20",14.6%,12%,10%
1-Jan-15,"  2,028.18","2,028.18",11.3%,11%,10%
1-Dec-14,"  2,054.27","2,054.27",13.6%,12%,10%
1-Nov-14,"  2,044.57","2,044.57",14.6%,12%,10%
1-Oct-14,"  1,937.27","1,937.27",12.6%,12%,10%
1-Sep-14,"  1,993.23","1,993.23",18.1%,12%,10%
1-Aug-14,"  1,961.53","1,961.53",17.5%,12%,10%
1-Jul-14,"  1,973.10","1,973.10",18.2%,12%,10%
1-Jun-14,"  1,947.09","1,947.09",20.3%,12%,10%
1-May-14,"  1,889.77","1,889.77",15.2%,12%,10%
1-Apr-14,"  1,864.26","1,864.26",18.7%,12%,10%
1-Mar-14,"  1,863.52","1,863.52",20.2%,12%,10%
1-Feb-14,"  1,817.04","1,817.04",20.1%,12%,10%
